Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14
2022-02-14,16842.80078125,17099.5,16809.650390625,17076.150390625,305500.0,17442.284718170948,17497.810129065943,37.325282762137995,-97.1221405497381,-48.44587440854737,-48.67626614119074,293.6983597764579
2022-02-15,17352.44921875,17375.0,16839.25,16933.25,298700.0,17433.728956321334,17492.10970121042,48.00603838927009,-91.44597092259937,-34.2157638251269,-57.23020709747247,310.987762649568
2022-02-16,17322.19921875,17490.599609375,17257.69921875,17408.44921875,244500.0,17423.107076552635,17485.446545035502,47.48874178948529,-88.36981556319006,-24.911686772574065,-63.458128790615994,305.41009321924173
2022-02-17,17304.599609375,17442.900390625,17235.849609375,17396.55078125,232100.0,17411.820651107148,17478.354508342934,47.17026746319773,-86.35661635068027,-18.31879004805141,-68.03782630262886,298.38442807858166
2022-02-18,17276.30078125,17380.80078125,17219.19921875,17236.05078125,189600.0,17398.91399683504,17470.430832770664,46.628780595119586,-86.05265891095405,-14.411866086660154,-71.6407928242939,288.61422339439724
2022-02-21,17206.650390625,17351.05078125,17070.69921875,17192.25,215200.0,17380.60317719599,17460.08650170613,45.251900252985244,-90.39001505320994,-14.999377783132829,-75.39063727007711,288.0240333305117
2022-02-22,17092.19921875,17148.55078125,16843.80078125,16847.94921875,300100.0,17353.136133534466,17445.65954943334,43.00471151007802,-101.88815092617006,-21.198010924874353,-80.6901400012957,293.36871733368946
2022-02-23,17063.25,17220.69921875,17027.849609375,17194.5,200200.0,17325.527930340708,17430.663096514385,42.43074744968529,-112.04488279613724,-25.083794235873228,-86.96108856026402,286.1887810509259
2022-02-24,16247.9501953125,16705.25,16203.25,16548.900390625,458000.0,17222.90147938564,17384.282198428034,30.204253427014464,-183.76373255199724,-77.44211519338657,-106.32161735861067,327.1752966901455
2022-02-25,16658.400390625,16748.80078125,16478.30078125,16515.650390625,329800.0,17169.139470932245,17355.81624518086,39.634778384217384,-205.11707524118174,-79.03636630605683,-126.0807089351249,339.58067449352797
2022-02-28,16793.900390625,16815.900390625,16356.2998046875,16481.599609375,404200.0,17133.40241566489,17333.780329315927,42.4015980740527,-208.70026879833313,-66.09564789056657,-142.60462090776656,348.15352531095454
2022-03-02,16605.94921875,16678.5,16478.650390625,16593.099609375,517700.0,17083.16877786347,17305.237932823144,39.68449951681555,-224.12251941236173,-65.21431880367612,-158.9082006086856,345.80327350302923
2022-03-03,16498.05078125,16768.94921875,16442.94921875,16723.19921875,442100.0,17027.443254376474,17273.583534722235,38.172242386850236,-242.25865927335326,-66.68036693173411,-175.57829234161915,344.3887539670986
